player,elo_Hard,elo_Clay,elo_Grass
a. andrade,1499.0863258921593,1515.0,1500.0
a. rus,1498.8915021445018,1494.6171890757598,1463.3609066498914
m. lajal,1498.883524128936,1500.0,1480.3014635462578
m. basic,1498.818866200181,1500.0,1500.0
y. miyazaki,1498.212921145959,1500.0,1475.3966734339947
k. majchrzak,1497.9022867613282,1500.0,1500.0
j. riera,1497.7891011226498,1488.6748352981,1479.2906619335338
n. diaz,1497.7105302170294,1483.5425983913058,1500.0
r. baena,1497.5770667951333,1535.1855843473345,1483.7838955854816
b. paire,1497.4955808465184,1481.404499168829,1502.329653037379
s. hong,1497.4187051949234,1500.0,1500.0
s. wei,1497.1909419223082,1500.0,1500.0
a. bolt,1496.8409099059725,1500.0,1503.4208229863864
y. zhou,1496.6907972987424,1500.0,1500.0
a. thanos,1496.6062368079536,1500.0,1500.0
m. vondrousova,1496.5810968600952,1578.6506191167728,1480.3052270648302
m. chwalinska,1496.5162045910563,1482.1993393767118,1500.0
l. borg,1496.3280140614777,1483.888124532778,1500.0
m. kukushkin,1496.1801314712775,1477.1032911500472,1500.0
d. ajdukovic,1496.0405102124569,1497.8386849814046,1500.0
a. shevchenko,1495.9914917570024,1463.3851807160518,1481.83505053789
e. avanesyan,1495.828366049465,1570.4950807092548,1479.283041902186
x. wang,1495.6696143013785,1520.087959307169,1480.972526239608
p. herbert,1495.170100528146,1482.6759345736525,1483.0406678249533
e. ymer,1495.1139435583611,1481.5618688247332,1483.6239327073654
c. wong,1494.8805617857895,1500.0,1485.340598855388
c. giorgi,1494.7701643930066,1500.0,1500.0
a. hartono,1494.7231252909392,1500.0,1500.0
j. burrage,1494.5863351429907,1500.0,1500.0
a. vukic,1494.5644584815916,1450.035313218124,1556.1064628221702
c. eubanks,1493.9317197175546,1405.1864266184923,1491.317973322263
l. zhu,1493.8155001426576,1434.373742038339,1509.4525122803122
t. wild,1492.965986636695,1477.287275432542,1505.1741494746962
j. schwaerzler,1492.0838473607814,1481.629253282373,1500.0
n. borges,1492.0470592211366,1576.4105277725832,1448.482143055645
j. kovalik,1491.6112498652742,1505.498720919176,1500.0
j. niemeier,1491.585849243967,1480.23158458051,1487.6063160628769
k. okamura,1491.118698167532,1500.0,1500.0
c. zhao,1490.89324926443,1500.0,1500.0
n. basavareddy,1490.845265181612,1500.0,1500.0
a. danilina,1490.7932253335011,1500.0,1500.0
h. watson,1490.7201487838277,1500.0,1466.6352328786645
s. kenin,1489.9260279035757,1515.149592767311,1467.8864717152396
e. arango,1489.815682862666,1472.8330311107543,1484.32844942841
l. pouille,1489.4192239276874,1483.8311456781023,1521.550110211261
k. hui,1489.210766858552,1500.0,1500.0
l. sun,1489.0487888284488,1482.6809102503196,1559.9705151224323
t. babos,1488.7996187695755,1484.3250016811016,1500.0
c. tauson,1488.7658931556184,1519.841312409968,1465.8629333220458
k. jacquet,1488.2668887240864,1500.0,1500.0
o. gadecki,1488.252760845885,1466.296320418886,1480.866069207166
r. zarazua,1488.2371237973605,1468.1873071397442,1483.095352596147
v. hruncakova,1488.154658837896,1500.0,1500.0
k. bondarenko,1488.0,1500.0,1500.0
l. stefanini,1487.9704183031497,1485.7172036463842,1500.0001013179428
d. aiava,1487.7319809613114,1500.0,1500.0
m. melnikova,1487.6142556206687,1500.0,1500.0
m. rocens,1487.6051129249252,1500.0,1500.0
b. fruhvirtova,1487.5931899669774,1482.6626206997726,1500.1877620549692
r. jamrichova,1487.5413102315738,1484.4146538947666,1500.0
v. orlov,1487.403449144282,1500.0,1500.0
e. jacquemot,1487.2572680816268,1454.9048584630414,1479.4056872423248
d. back,1487.2459495027117,1500.0,1500.0
j. ponchet,1487.1662122424634,1478.4619214976824,1485.0
i. buse,1487.1133046633076,1500.0,1500.0
j. sousa,1487.01648446437,1480.705658182036,1500.0
c. burel,1486.7594815725345,1469.3989238841434,1464.257250793143
v. rodriguez,1486.7154803408466,1500.0,1500.0
m. copil,1486.6588433887168,1500.0,1500.0
a. murray,1486.589297415835,1458.8952878128036,1483.1521949210226
l. chirico,1486.3384852318256,1483.988152279096,1500.0
c. bechri,1486.3357184760566,1500.0,1500.0
c. ngounoue,1486.301182767411,1487.585699413623,1500.0
c. dolehide,1486.058841693218,1484.479680322358,1483.866174292095
a. bublik,1485.8212431675415,1503.3991030123752,1511.1056528747777
r. te,1485.6525822733176,1500.0,1500.0
m. shoaib,1485.6471999915343,1500.0,1485.0
m. stojsavljevic,1485.591961420384,1500.0,1500.0
e. ruse,1485.574432942196,1515.5263148468252,1480.0001138477053
l. samson,1485.5095759796627,1528.4851194202452,1500.0
m. baratau,1485.419734385047,1500.0,1500.0
y. hsu,1485.332313481032,1500.0,1500.0
o. ohoisin,1485.29911587095,1500.0,1500.0
a. martin,1485.2558073816858,1500.0,1500.0
t. schoolkate,1485.2525665017515,1500.0,1484.6967284344214
